	TF	target	importance	regulation	rho
32817	ALX4	COL6A2	0.8525699055851609	1	0.8904635247554855
32908	ALX4	ASPN	0.0817693001063737	1	0.8201040646786747
32994	ALX4	COL4A1	0.814399684636701	1	0.917875763156966
33113	ALX4	AC037198.1	0.6655535632645992	1	0.8048774964744452
53249	ARNT2	CAMTA1	0.4391246274525137	1	0.8430972036999826
53577	ARNT2	RBFOX2	1.0572147918921748	1	0.8184677985472815
53636	ARNT2	ARHGEF12	0.5404121884869482	1	0.8011937653315541
53977	ARNT2	TNRC6A	1.5701622848686296	1	0.8641147372086421
53986	ARNT2	RTN3	0.4003510199265088	1	0.8076595112528198
54317	ARNT2	BIRC6	0.2901841394640426	1	0.8071864459364811
54396	ARNT2	ERC1	1.5679709925651832	1	0.8234668312715522
54501	ARNT2	RUFY3	0.2953578796703707	1	0.8033852585198935
54548	ARNT2	JMJD1C	0.3927292371129829	1	0.8254739139495473
54684	ARNT2	NSD3	0.4102771634830741	1	0.8021419019474907
54719	ARNT2	DOCK3	0.7522814318810955	1	0.8230824581086278
54733	ARNT2	CHD9	0.2090108153256059	1	0.8017989002159341
54801	ARNT2	EXOC4	0.2752635483413756	1	0.8019224351640618
54944	ARNT2	NRCAM	0.2885847144464569	1	0.8052821282837096
55415	ARNT2	ATXN2	0.2935531670731154	1	0.8211735569915337
55551	ARNT2	USP34	0.2806623644678944	1	0.8018553347002033
55653	ARNT2	GPHN	0.407628690725922	1	0.851334096780557
55847	ARNT2	RPS6KA2	1.55557279993212	1	0.8248059803878754
55970	ARNT2	NR3C2	1.0606387389278662	1	0.8154476865881153
56082	ARNT2	SPIRE1	0.6190256978538626	1	0.8009840601642058
56232	ARNT2	CELF1	0.4178304703462525	1	0.8088010940085071
56262	ARNT2	NRG3	1.5091921475310457	1	0.8317677455203333
56329	ARNT2	MAP4K3	0.4134183355777672	1	0.8091123611931742
56366	ARNT2	MARCH6	0.4050191960762883	1	0.800322364226271
56383	ARNT2	ENSA	0.8998395786579565	1	0.8071164118547403
56410	ARNT2	AHI1	1.54639911047486	1	0.8304679427238683
56582	ARNT2	TRIO	1.414176640886344	1	0.8378272264039485
56672	ARNT2	NCKAP1	0.5250196288470619	1	0.8015143750503075
56759	ARNT2	ARID1B	0.5009827971869696	1	0.8215561391126859
57174	ARNT2	STXBP5	0.4694632395908996	1	0.8185048358947925
57376	ARNT2	NFAT5	0.3507097746926106	1	0.8158303423185206
57822	ARNT2	EIF4G3	0.3133471505830539	1	0.8266973876072569
57828	ARNT2	NCOA1	0.2408243314919697	1	0.818251482805374
58078	ARNT2	CLASP1	0.1427593317359086	1	0.8167276316605808
58395	ARNT2	KCNMA1	1.3313598170564054	1	0.8143738374960263
58672	ARNT2	TARBP1	0.8703222169154162	1	0.8051954857419118
58740	ARNT2	ZNF292	0.3607002927951001	1	0.8185544155927331
58813	ARNT2	C20orf194	0.2309731997812663	1	0.8047562505752397
59003	ARNT2	PTPN4	0.2654474136267992	1	0.8075712969364421
59158	ARNT2	TTC3	0.8683096596242704	1	0.8278920999999926
59234	ARNT2	PBX1	2.531255727488749	1	0.8138713670643193
59239	ARNT2	RFX3	0.8099953219496316	1	0.8194028641628774
59257	ARNT2	ZFAND3	0.3520588311666426	1	0.8091386190975942
59613	ARNT2	ACACA	0.3546755005735289	1	0.8064907149087417
59684	ARNT2	MALAT1	0.263780207551295	1	0.8400670836943523
59781	ARNT2	TNRC6B	0.320149893730437	1	0.8406961678218561
59947	ARNT2	PRKCA	0.3206516836948395	1	0.8226229317603201
60012	ARNT2	GTF2I	0.426820181805399	1	0.8002111805658301
60023	ARNT2	ADGRL3	0.3204882148947316	1	0.8349697419500489
60150	ARNT2	MLLT10	2.1198711580194853	1	0.8324587197447071
60164	ARNT2	SPTAN1	0.738349115962644	1	0.812375154243227
60166	ARNT2	PRKN	0.3186983280845245	1	0.8031024637001215
60196	ARNT2	TCF4	0.4768538239865352	1	0.8314704473122754
60219	ARNT2	ZDHHC21	0.2478866948466274	1	0.8050905695531524
60254	ARNT2	UBR5	0.3195046712007554	1	0.8044242320389564
60412	ARNT2	GPATCH8	0.3244353390808296	1	0.8076540929789167
60597	ARNT2	ANK2	0.0326312775880178	1	0.8050037514427548
60602	ARNT2	SBF2	0.3228564242848663	1	0.8087689157798882
60722	ARNT2	VPS13B	0.3236240298881446	1	0.8226824119573295
60743	ARNT2	FTX	0.3218844458260612	1	0.8573342462031239
60809	ARNT2	ANKRD17	0.3211625647976459	1	0.8331649090411571
60968	ARNT2	TRIM9	0.5123656823568578	1	0.8246154749489893
61002	ARNT2	FBXL17	1.45092922769026	1	0.8086902780331969
61013	ARNT2	EHBP1	0.3214354006611581	1	0.8106069219043568
61178	ARNT2	MYO9A	0.339194321995469	1	0.8200574684888536
61210	ARNT2	KANSL1	0.2015204015671122	1	0.8172894597504077
61256	ARNT2	CTNND2	0.4852919510640204	1	0.8460655473149744
61370	ARNT2	ADCY2	0.6020498464968856	1	0.8067045994758295
61382	ARNT2	NEBL	0.3378427396498047	1	0.8010168143697851
61797	ARNT2	DANT2	0.3178925017219897	1	0.8339912290355439
62450	ARNT2	SYNE1	0.8553111447960603	1	0.8219784307872974
62459	ARNT2	PCM1	0.3008654098361918	1	0.8071037098105527
62688	ARNT2	KMT2A	0.302974857149979	1	0.8004290175234225
62789	ARNT2	NAV2	1.691082924718614	1	0.8370466470248441
62827	ARNT2	BRAF	0.302515518799559	1	0.8068815674212751
62951	ARNT2	AKT3	0.3036888511208668	1	0.8207300257902367
63050	ARNT2	SETD5	0.2275100501250601	1	0.8002297621543105
63351	ARNT2	NTRK3	1.6764063989745182	1	0.8264657461959143
63396	ARNT2	ADGRB3	0.8757401205689106	1	0.8112477901560132
63602	ARNT2	NTRK2	0.3731783649445096	1	0.8121971756548568
63639	ARNT2	CPEB3	0.8818375795932216	1	0.8120740064144848
64126	ARNT2	GRIA2	0.378429783791111	1	0.8309252813700673
64143	ARNT2	NF1	0.6829112665415484	1	0.8117713882303735
64181	ARNT2	GSK3B	0.3727060393223678	1	0.8135954358737817
64522	ARNT2	MYCBP2	0.3840068866065514	1	0.8281525389832524
64582	ARNT2	UBR3	0.4614218851827952	1	0.816633117738047
64614	ARNT2	RBM26	0.296827926181283	1	0.8073139023614878
64803	ARNT2	SMARCA2	0.4523945921079175	1	0.810685988349197
64870	ARNT2	NRXN1	0.2663350540447881	1	0.8062056573436451
65066	ARNT2	MBD5	0.2961889762941838	1	0.8289391766176355
65207	ARNT2	MAPK10	0.3629864170285533	1	0.8315980862514645
169916	BCLAF1	MALAT1	0.1554203909201333	1	0.8297982662475927
189962	BPTF	ZBTB20	0.5720957726345728	1	0.8131964707510013
190189	BPTF	MON2	0.8998724255172598	1	0.8256671038668245
190369	BPTF	JMJD1C	0.2124369417122578	1	0.8112454962667291
190801	BPTF	PAFAH1B1	0.8709093759218313	1	0.8021208050950606
191026	BPTF	RFX3	0.5911098599006858	1	0.8035580707828205
192090	BPTF	ADGRL3	0.8730560886630141	1	0.8319882221112069
192480	BPTF	ANKRD17	0.8900616778742064	1	0.8101319520558466
192883	BPTF	MBD5	0.8158289110210699	1	0.8330302519471322
193562	BPTF	FTX	0.780196610252974	1	0.8122980876585815
193799	BPTF	CDK13	0.5078227003125944	1	0.8205486482495735
193906	BPTF	POU2F1	0.4565489990686942	1	0.8207546167752607
194114	BPTF	CLASP2	0.4811971302406039	1	0.8449325882924072
194718	BPTF	MACF1	0.7901659332762373	1	0.8272043506757912
194835	BPTF	VPS13B	0.2361089043990133	1	0.8121549832273963
195180	BPTF	TNRC6C	0.6924961903855904	1	0.8159329564097516
196370	BPTF	MLLT10	0.5562287852050943	1	0.8217192579527333
196428	BPTF	SRPK2	0.3139537978691958	1	0.8032044036827918
197010	BPTF	TNRC6A	0.4531026114124423	1	0.8156525075008902
197184	BPTF	MIR99AHG	0.7213508342300085	1	0.8117028923102564
197832	BPTF	ACACA	2.580518961956643	1	0.8075390684660583
197913	BPTF	UBR2	2.599172594761893	1	0.8021077773455209
197967	BPTF	TBC1D5	2.5359419481886034	1	0.8320636112814053
197990	BPTF	CCDC88A	2.524818468780768	1	0.813196357475115
197999	BPTF	MALAT1	2.526307138015521	1	0.8731142745689966
198058	BPTF	NPAS3	2.5477161420753216	1	0.8114716698307574
198067	BPTF	NCAM1	1.0699295338976595	1	0.8429441292347158
198113	BPTF	TRA2A	1.4739185592038806	1	0.8033461198932045
198121	BPTF	PNISR	1.892688346245976	1	0.8228680693661077
198175	BPTF	ARL17B	2.679646080481744	1	0.8062555834320662
198211	BPTF	AGO3	1.478524757590869	1	0.8064756722751932
198241	BPTF	GOLGA4	1.065180678166312	1	0.8094937609191313
198246	BPTF	DDX17	1.1865404374400832	1	0.8464701161322247
198283	BPTF	KANSL1	1.7565103952558936	1	0.8598262081215885
198323	BPTF	MAPT	2.419488847860278	1	0.805301557184106
198377	BPTF	FTO	2.417496209613986	1	0.8322603560367007
198390	BPTF	FNBP1	1.51597312513912	1	0.8113551765286778
198397	BPTF	ASH1L	2.437565548546216	1	0.8276703283861967
198460	BPTF	NCOR1	1.1927067977240249	1	0.8176730050460903
198474	BPTF	FAF1	2.3868254327456526	1	0.8373527125181324
198482	BPTF	TNRC6B	1.930620458610351	1	0.8468670281427929
198518	BPTF	MAGI2	2.4033126889016625	1	0.8263516608693002
198624	BPTF	PBRM1	2.4806525857335533	1	0.8017378858530501
198637	BPTF	LRBA	2.5121602679464305	1	0.8120663237326124
198659	BPTF	GIGYF2	2.51928186615188	1	0.8023368281694991
198661	BPTF	MYO6	2.510742263375433	1	0.8135033620028754
198662	BPTF	LUC7L2	1.2870183867238545	1	0.8053175644295695
198692	BPTF	ZFAND3	2.509084091321164	1	0.8442841570660066
198772	BPTF	CHD9	1.9159716553142625	1	0.8297009755126303
198804	BPTF	NFAT5	1.9173292065228484	1	0.8220538902774502
198891	BPTF	TAOK1	1.7827075106353882	1	0.8125196770728284
198912	BPTF	ATXN2	3.0328300385370013	1	0.83202917172909
198916	BPTF	CADM2	1.8610820406166888	1	0.8276177753798314
198939	BPTF	KIAA1109	3.0296674652187705	1	0.8135276488097021
198940	BPTF	GPHN	0.9610893971367748	1	0.8452489836321752
198993	BPTF	BRAF	0.9131170650598583	1	0.8153690466678211
199076	BPTF	COP1	1.337622779977098	1	0.8082425100622429
199158	BPTF	NCOA1	1.4119687389238265	1	0.8212601234892913
199243	BPTF	MARK3	3.0782946052820748	1	0.826048424593581
199304	BPTF	PRKN	3.123910178747909	1	0.8208194272310364
199321	BPTF	GTF2I	1.440600174386672	1	0.8248559783341559
199393	BPTF	CLASP1	2.7727923405222765	1	0.8334901947556859
199419	BPTF	UBR3	1.8807802990460647	1	0.8195097646583053
199546	BPTF	ITFG1	1.8847681635652629	1	0.8107977277730447
199550	BPTF	CEP350	2.726088636402637	1	0.8018240305717659
199608	BPTF	MAPK10	1.4457719871756547	1	0.8024942307361439
199647	BPTF	TCF4	2.8806889703581744	1	0.8095635556417999
199655	BPTF	NSD3	2.884963477902004	1	0.8153534103994032
199690	BPTF	ZNF280D	1.773608343867238	1	0.8172263172684294
199814	BPTF	RUFY3	2.814389427011338	1	0.8231700566991599
199823	BPTF	C20orf194	2.1140398873893496	1	0.8167963293378545
199859	BPTF	ARGLU1	2.1098222610271007	1	0.8083536929307277
200027	BPTF	PCM1	2.106910779584281	1	0.8333789553810371
200031	BPTF	WSB1	2.1078614145937684	1	0.8036704015294021
200162	BPTF	TAOK3	2.163472979885133	1	0.8049327330554046
200201	BPTF	CAMTA1	1.619013036269359	1	0.8068631893958657
200202	BPTF	CDC42BPA	1.6189309680160862	1	0.8270573491951224
200214	BPTF	ATRX	1.9810728953937244	1	0.8183486346934372
200225	BPTF	CTNND2	1.6166164350807306	1	0.8519604908382218
200267	BPTF	RALGAPA1	2.141873158467881	1	0.8309922300249303
200329	BPTF	ZDHHC21	2.038208037516279	1	0.8003248016700159
200345	BPTF	KMT2E	0.9283456164900086	1	0.8113239972705224
200353	BPTF	SETD5	2.0326220962419206	1	0.8045447929131403
200361	BPTF	UTY	1.1303862626663834	1	0.8363647728618854
200366	BPTF	MKLN1	1.213855280357201	1	0.836948296474519
200381	BPTF	SPTBN1	2.0407867608686123	1	0.8248748425963253
200385	BPTF	UBR5	2.0466237926404824	1	0.816886057838529
200415	BPTF	PTK2	0.9293657782717404	1	0.8256413625223992
200423	BPTF	RBM26	2.042268038486171	1	0.8198045685840014
200526	BPTF	ARID4B	1.6681270655320954	1	0.8052330271175331
200639	BPTF	GNAQ	1.1191488297893837	1	0.8284194308087777
200645	BPTF	USP34	1.6880630392502876	1	0.8412264432045957
200668	BPTF	SGIP1	1.995169926426676	1	0.816856206119472
200735	BPTF	N4BP2L2	2.05080386577075	1	0.8416185409672774
200824	BPTF	AKT3	2.3013895757417133	1	0.8414408917264555
200883	BPTF	DST	2.309299604068029	1	0.8584980051729785
200886	BPTF	BIRC6	1.94216131587112	1	0.8271676598174383
200895	BPTF	EIF4G3	2.31715756398996	1	0.8286900869568539
200920	BPTF	POGZ	2.3102476480601464	1	0.817213537151868
200969	BPTF	CSNK1A1	2.275368095600158	1	0.8146708359852425
200980	BPTF	KIDINS220	2.262685562618469	1	0.8071077249958909
200990	BPTF	MED13L	2.265463644438452	1	0.8291006487855704
201129	BPTF	TNKS	1.538220904291629	1	0.8043449693563304
201151	BPTF	NF1	1.2715673681801123	1	0.8213278586454502
201154	BPTF	DYRK1A	2.3778506253251788	1	0.8049186296555677
201159	BPTF	PHC3	2.3792325947076294	1	0.8075914909968034
201187	BPTF	NIPBL	1.9315981712580204	1	0.8024631662400823
201211	BPTF	SBF2	2.332369782602655	1	0.8132743259533926
201245	BPTF	SENP6	2.3239796980387406	1	0.8168882369951107
201265	BPTF	AUTS2	1.7244627596302458	1	0.8000777753436117
201281	BPTF	ANKRD12	2.346708978866205	1	0.8263991198200489
201309	BPTF	MARCH6	1.542773973359906	1	0.8036301551081568
201328	BPTF	DLG2	0.924163072450604	1	0.842702469328226
201329	BPTF	TUT4	1.9659188633157123	1	0.8103658563257243
201339	BPTF	PCDH9	2.1959248086264287	1	0.8019407087391304
201350	BPTF	WDFY3	2.1981594944121987	1	0.8432174943289243
201377	BPTF	KIF1B	2.192476251218644	1	0.8603276433720185
201397	BPTF	DIP2C	2.206219209676619	1	0.8073053669738324
201578	BPTF	ZMYM2	2.2398648705045217	1	0.8253438115197185
201618	BPTF	PTPRA	2.236093712977341	1	0.807633777037948
201657	BPTF	PPP6R3	1.950815932091826	1	0.8158736403906727
201689	BPTF	EXOC4	0.9228523947145924	1	0.8122458855439281
201693	BPTF	ANK2	1.712861733976849	1	0.8466928639463664
201694	BPTF	MED13	1.5842187346567806	1	0.8052944623435084
201810	BPTF	ZNF292	1.5787765825355258	1	0.8167520785375297
201963	BPTF	SCAPER	3.433917656899247	1	0.8175959656968665
202028	BPTF	PHACTR3	1.3695843172858884	1	0.8011072912533743
202089	BPTF	BRWD1	1.0244027297035243	1	0.8111876574403004
202138	BPTF	APC	1.3442838189640374	1	0.8070509333505622
202222	BPTF	RERE	3.675023492679139	1	0.8318444036332541
202235	BPTF	ARID1B	1.1643720786942762	1	0.822424058217796
202358	BPTF	BAZ2B	1.3838250014402274	1	0.8045575623805075
202398	BPTF	KMT2C	1.3588035547683546	1	0.8397173239529399
202474	BPTF	CADM1	1.168082541242443	1	0.8026089769132441
228237	CHD2	DDX17	0.2282604330480246	1	0.8029549590099873
234361	CHD2	CTNND2	0.029517248861602	1	0.8005924666001472
235350	CHD2	GNAQ	0.032541886991819	1	0.8019434539912405
236603	CHD2	MALAT1	0.024501400518396	1	0.8330487400614489
270374	CREB5	IL1RAPL1	2.263778368287674	1	0.8159328142830129
270407	CREB5	SEPTIN7	1.7670212898132938	1	0.8103459152617203
270765	CREB5	EDIL3	2.356371901865093	1	0.805962658191246
270870	CREB5	PPP2R2B	1.957893878760027	1	0.8044453823450062
270988	CREB5	MBP	2.302701862284588	1	0.8190756355798489
271192	CREB5	SLC24A2	2.323897057838208	1	0.800359959937712
271309	CREB5	SLC44A1	2.319046304862691	1	0.8357186971374697
271938	CREB5	DNM3	0.8163515937522691	1	0.805097854489728
271965	CREB5	PDE4B	1.7464560653201504	1	0.8269159502300452
271981	CREB5	ENPP2	2.104598563784705	1	0.8086707452865224
272187	CREB5	QKI	1.5871706835609003	1	0.833759245783774
272278	CREB5	KCNH8	2.10810254888367	1	0.8091906272200845
272386	CREB5	DOCK10	2.233630489004253	1	0.8270407719347539
272511	CREB5	TTLL7	2.005022464294338	1	0.800659395392437
273158	CREB5	FRYL	0.97888981261401	1	0.8045157984681668
273976	CREB5	CTNNA3	2.598951582415737	1	0.8129866960874195
274186	CREB5	FRMD4B	2.634780678131141	1	0.8000866400461297
274402	CREB5	TRIM2	1.847491232246252	1	0.8070792564478619
274765	CREB5	PIP4K2A	1.435400618400604	1	0.8201163183876296
274798	CREB5	SHTN1	1.8443230168395888	1	0.8082775654192076
275118	CREB5	PHLPP1	1.6782340120887147	1	0.8095440711407933
275398	CREB5	ELMO1	1.2936814296480963	1	0.8096461287988076
275800	CREB5	PDE8A	2.4062874920166166	1	0.8009257017075117
275802	CREB5	CLMN	2.4064675147952723	1	0.807855082350415
276001	CREB5	SIK3	1.6997800019605145	1	0.8240384714565192
296206	CUX1	FTX	1.5169954893166295	1	0.8174267990497792
296367	CUX1	STXBP5	0.5927917097968017	1	0.803778080228746
297743	CUX1	MBD5	0.2685290296185585	1	0.801358134633989
297973	CUX1	TNRC6A	1.2669854170990056	1	0.8002161305288757
300169	CUX1	SIPA1L1	1.5152588141850454	1	0.8087967108861316
303235	CUX1	TRIM9	0.5520323668254403	1	0.8039396877056562
304224	CUX1	MAPK10	1.1410335766705484	1	0.8085186499402975
305359	CUX1	ADGRB3	1.2599606370131984	1	0.822328727982089
309848	CUX2	R3HDM1	0.9339537757373404	1	0.8122347347460586
311110	CUX2	KIAA1211L	1.1425596696327884	1	0.8003111507087537
311830	CUX2	STXBP5L	1.084388010705175	1	0.8275515277620507
312534	CUX2	HS6ST3	1.1831501636097552	1	0.8039001962297545
390821	ELF2	NCAM1	1.240138441561068	1	0.8076414985006287
391369	ELF2	PTK2	0.8018759871130687	1	0.8142538758977783
393861	ELF2	DLG2	0.2152661298894603	1	0.8177146705876596
394014	ELF2	TJP1	1.8868331948269368	1	0.8030171501325095
394687	ELF2	DIP2C	2.240443338619775	1	0.809438929179268
394728	ELF2	CLASP2	2.23924487593918	1	0.8394985802104599
394881	ELF2	DST	1.713047488081014	1	0.81120297192478
395166	ELF2	PCDH9	2.261927285405649	1	0.8197018006013795
395830	ELF2	CCDC88A	1.6969130806471988	1	0.8101549885601778
419445	EN1	AC102953.1	5.879452193111324	1	0.9999999999999998
419505	EN1	LGALS7	5.879452193111324	1	0.9999999999999998
419607	EN1	CARTPT	5.401068002953833	1	0.8847501055208745
419707	EN1	AGBL1-AS1	4.934510192278335	1	0.8943937969168384
419755	EN1	AC006450.2	4.364529706123734	1	0.8164457895914689
419841	EN1	AC011491.2	5.879452193111324	1	0.9999999999999998
419868	EN1	PLEKHS1	5.879452193111324	1	0.9999999999999998
419929	EN1	RFPL3	5.879452193111324	1	0.9999999999999998
420000	EN1	AP003031.1	5.879452193111324	1	0.9999999999999998
420040	EN1	IQCF2	5.879452193111324	1	0.9999999999999998
420047	EN1	AC116021.1	5.879452193111324	1	0.9999999999999998
420070	EN1	AC017067.1	5.879452193111324	1	0.9999999999999998
420974	EOMES	S1PR4	3.2349488319500788	1	0.8163440645201371
421019	EOMES	AC007278.2	3.2349488319500788	1	0.8163440645201371
421887	EP300	MALAT1	0.6553323753166213	1	0.8175255804564509
487849	FOXA3	OR10C1	1.829425911635785	1	0.8164457895914732
497772	FOXG1	GPM6A	0.6873995100482297	1	0.8060720254735487
498287	FOXH1	NANOGP11	3.368130138635876	1	0.9999999999999998
498346	FOXH1	AC069503.4	3.368130138635876	1	0.9999999999999998
498364	FOXH1	AP000569.1	3.368130138635876	1	0.9999999999999998
498372	FOXH1	AL161740.1	3.368130138635876	1	0.9999999999999998
498398	FOXH1	AC020558.6	3.368130138635876	1	0.9999999999999998
498432	FOXH1	NDNF	3.214573508388586	1	0.9046673668725744
508925	FOXJ3	MALAT1	0.079357635316863	1	0.8063222896364739
510088	FOXJ3	EIF4G3	0.8494495069829552	1	0.800602874766442
510402	FOXJ3	DLG2	0.9785643766062156	1	0.8033347831129664
517255	FOXN2	QKI	2.0950914732653034	1	0.814492321454508
519571	FOXN2	PHLPP1	1.5132264867075855	1	0.8009143197964168
547371	FOXP1	JMJD1C	1.219568836558098	1	0.8194839637637016
547531	FOXP1	AKT3	0.5587562870435112	1	0.8231231756092605
547694	FOXP1	PPP3CA	1.8495307344922325	1	0.8147636673934315
554778	FOXP1	PTPRD	3.7212142131908834	1	0.8242299093195333
555109	FOXP1	ANK2	0.9275982692672948	1	0.8155915015233557
555526	FOXP1	ARHGAP32	1.144040651377365	1	0.8101800683824172
555623	FOXP1	ADGRB3	0.2023388326557747	1	0.8046663974858796
557407	FOXP1	CELF2	1.6758392120571903	1	0.8086922772850395
589058	GLI3	MACF1	0.1575443863146276	1	0.8062388757086675
589297	GLI3	NHSL1	1.6219745971544488	1	0.8466949320818546
589942	GLI3	PARD3B	0.8212978294031013	1	0.8159830528740835
590280	GLI3	NKAIN3	1.3730245706498487	1	0.8411464193748509
590511	GLI3	STON2	1.3828335867942088	1	0.8240041966918182
590530	GLI3	PITPNC1	0.3340693892473936	1	0.8095993411947348
590677	GLI3	GRAMD2B	1.0242001994055194	1	0.8029551920748761
590678	GLI3	BMPR1B	1.0262802945350835	1	0.8341426394845882
590848	GLI3	ADGRV1	0.8949794710335897	1	0.8702496856621873
591227	GLI3	CARMIL1	0.2119789421205883	1	0.8192238712624641
591291	GLI3	CTNNA2	0.6486749826469118	1	0.8320385810288093
591359	GLI3	MSI2	0.1892969227413089	1	0.8190797004357844
591533	GLI3	ATP1A2	1.1726057762401445	1	0.8639939369987479
591556	GLI3	GPC5	1.294943710408687	1	0.8676839305676682
591933	GLI3	PREX2	0.679535347921554	1	0.8367026931302726
592564	GLI3	SFXN5	0.709559579946006	1	0.8253416362748369
593146	GLI3	ATP13A4	1.46304729434612	1	0.8351078787526114
593307	GLI3	LINC00499	1.185107832620394	1	0.8078489972393897
593324	GLI3	TPD52L1	1.30115877319078	1	0.8402486676954714
593817	GLI3	SLC4A4	0.3977845083119586	1	0.8297482865486474
593820	GLI3	DTNA	0.1763957904815551	1	0.8085113968703732
593829	GLI3	AL589740.1	0.8657474589679788	1	0.8059410109173437
594149	GLI3	LINC00299	1.2695302107838262	1	0.8723481835565825
594158	GLI3	SLC1A2	1.840897595857996	1	0.8809602854140239
594201	GLI3	RYR3	0.6668088976782405	1	0.8325981523808552
594228	GLI3	ASPH	0.1993291671433683	1	0.8095604183168724
594342	GLI3	AL137139.2	1.3151786299656756	1	0.8198765133467903
594499	GLI3	RANBP3L	1.588187252286908	1	0.8240451903502236
594707	GLI3	ACSS3	1.4283030931719878	1	0.845714473081804
594802	GLI3	AC091826.2	1.428546946285835	1	0.8051288578041248
594882	GLI3	SLC1A3	0.5235369729457876	1	0.8318727755599992
594912	GLI3	HIF3A	1.3154040579197157	1	0.8183934230302161
595013	GLI3	SLCO1C1	1.4058630328976998	1	0.8185015815683773
595053	GLI3	OBI1-AS1	1.213454429346482	1	0.8580087121507534
595173	GLI3	DOCK7	0.2694913785219175	1	0.807567530045278
595187	GLI3	AC106845.1	0.6265579971668429	1	0.8031964524928316
595293	GLI3	GPM6A	0.0506793587746108	1	0.8508165343597589
598672	GLIS3	SORBS1	2.8226885136732665	1	0.8372642057825956
599447	GLIS3	ABLIM1	2.814480462384365	1	0.811048710269934
599895	GLIS3	PITPNC1	1.0645645007930733	1	0.8093359635888054
599911	GLIS3	NEBL	1.4082041831197405	1	0.809167183550854
600233	GLIS3	AHCYL2	2.506222074931348	1	0.8247656887344976
600325	GLIS3	MIR99AHG	1.6717762426387006	1	0.8019831332524058
601342	GLIS3	GPM6A	0.8374675520798345	1	0.8237708897887394
602327	GLIS3	MSI2	2.551055979712365	1	0.8459845294723578
602515	GLIS3	CARMIL1	2.8122694171193023	1	0.8046124486342613
602820	GLIS3	OBI1-AS1	2.913902030050315	1	0.8050888404012301
603302	GLIS3	ADGRV1	2.697292514466517	1	0.8334694141804788
604014	GLIS3	DTNA	1.058215730979874	1	0.809095301720507
614054	GSX2	CDH15	4.1235376604613325	1	1.0
614063	GSX2	AC007244.1	4.1235376604613325	1	1.0
614094	GSX2	AC009118.1	4.1235376604613325	1	1.0
614096	GSX2	AC114730.1	4.1235376604613325	1	1.0
614105	GSX2	AC004674.1	4.1235376604613325	1	1.0
614108	GSX2	AL355303.1	4.1235376604613325	1	1.0
617059	GTF2I	VEZT	4.393574104294362	1	0.8016847235118666
617124	GTF2I	KIDINS220	2.5934891024384914	1	0.8067395474269664
617289	GTF2I	BPTF	1.622903398320753	1	0.824855978334156
617415	GTF2I	MON2	1.596680968511231	1	0.8118833671137367
617447	GTF2I	USP34	1.608424475502794	1	0.8378065987185352
617630	GTF2I	NSD1	4.4241458504952975	1	0.807034353555185
617667	GTF2I	MLLT10	0.6650384411933615	1	0.8389345171520353
617688	GTF2I	PPP1R12A	2.560906944056057	1	0.8023839893178484
